№ п/п,Наименование предприятия,ИНН,Почта
18,МАОУ СОШ №22 ГОРОДА ТЮМЕНИ,7204006356.0,shkola22buh@mail.ru; School22_tmn@mail.ru; angel_natali@bk.ru; shrola22buh@mail.ru; school22_tmn@obl72.ru
19,"МАОУ ""ПРИИРТЫШСКАЯ СОШ""",7223009289.0,priirtyushskiisosh1@rambler.ru; anna.stefantseva@mail.ru; ivanina.rashida@mail.ru; svetlana_saifull@mail.ru
20,"ГАПОУ ТО ""ТОБОЛЬСКИЙ МНОГОПРОФИЛЬНЫЙ ТЕХНИКУМ""",7206048915.0,TMTs@yandex.ru; TMTs72@yandex.ru; tmt.priemnaya@tmt72.ru
22,"ГАОУ ТО ""ГИМНАЗИЯ РОССИЙСКОЙ КУЛЬТУРЫ""",7203383993.0,GRKTMN@MAIL.RU; bsa3001@yandex.ru
24,МАОУ БЕГИШЕВСКАЯ СОШ,7212003461.0,irinashargina@mail.ru; beg.schckola2010@yandex.ru; irinasargina@mail.ru; beg.schckola2010@yndex.ru
25,МАОУ БОРОВСКАЯ СОШ,7224012196.0,olenka_1609@mail.ru; BORSCHOOL01@MAIL.RU; bor@obraz-tmr.ru
26,МАОУ СОШ №65 ГОРОДА ТЮМЕНИ,7203076544.0,schoolEgorova65@yandex.ru; scoolegorova65@yandex.ru; irina.romanova1704@yandex.ru; school65@obl72.ru
27,МАОУ СОШ №41 ГОРОДА ТЮМЕНИ,7203076576.0,mou_ch41@mail.ru; skool41@yandex.ru; skool@yandex.ru; mou_ch41@obl72.ru
28,МАДОУ Д/С № 95 ГОРОДА ТЮМЕНИ,7204006772.0,detsad095@mail.ru
29,"МАОУ ""ЯРКОВСКАЯ СОШ""",7229005033.0,kondakova-i@inbox.ru; lenam1919@mail.ru; olg61663410@yandex.ru; olg61663410@mail.ru; lenochka080282@yandex.ru; yarkschool@obl72.ru
30,МАОУ СОШ №89 ГОРОДА ТЮМЕНИ,7202105129.0,89tmn@rambler.ru ; 89tmn@rambler.ru; 89tyumen@gmail.com
33,"МАОУ ""АКСАРИНСКАЯ СОШ""",7229005925.0,aksarino-mou-soh@rambler.ru; AKSARINO@MAIL.RU; aksarino@mail.ru
34,МАОУ АБАТСКАЯ СОШ № 2,7208000450.0,454213@rambler.ru
35,"ГАОУ ТО ДПО ""ТОГИРРО""",7202068371.0,info@togirro.ru; bux_togirro@mail.ru
36,МАОУ ТОБОЛОВСКАЯ СОШ,7217007082.0,b.tobolovo@yandex.ru; 196919@ro.ru
37,МАОУ СОШ № 15,7202033308.0,school15_tmn@mail.ru; school15_tmn_bux@mail.ru; school15_tmn@obl72.ru
38,"ГАПОУ ТО ""ТТИПКС""",7203003137.0,tet7610@yandex.ru; balabanova_76@mail.ru; info@mck72.ru; hr@mck72.ru; tet3@yandex.ru; nikittseva_ol21@mail.ru; musatovayp@mck72.ru
39,"МАОУ ""НИЖНЕТАВДИНСКАЯ СОШ""",7219006609.0,byhgalteria72@mail.ru; byhgalteria@mail.ru; scola-ntavda@mail.ru; scola-ntavda@obl72.ru
40,МАОУ УСПЕНСКАЯ СОШ,7224010079.0,ushool@yandex.ru; ushool@ya.ru; usp@obraz-tmr.ru
41,МАДОУ Д/С № 166 ГОРОДА ТЮМЕНИ,7204118290.0,detsad166@obl72.ru; detsad166@yandex.ru
42,МАОУ СОШ №72 ГОРОДА ТЮМЕНИ,7203082530.0,school7_tmn@obl72.ru; school72@mail.ru; school72_tmn@mail.ru; school72_tmn@obl72.ru; shool7272_tmn@mail.ru
43,"МАОУ ""МАЛЫШЕНСКАЯ СОШ""",7214005841.0,malsosh@rambler.ru; malsosh18@yandex.ru
44,МАДОУ ЦРР Д/С № 110 ГОРОДА ТЮМЕНИ,7204118719.0,kazistova1959@mail.ru; detsad110tmn@mail.ru; tmn@mail.ru
45,МАОУ ГОРЬКОВСКАЯ СОШ,7224010199.0,766-007@mail.ru; gorkovka.mou@mail.ru
46,МАОУ СОШ №27 ГОРОДА ТЮМЕНИ,7203076706.0,school27@mail.ru
47,МАДОУ Д/С № 39 ГОРОДА ТЮМЕНИ,7204118420.0,detsad39@obl72.ru; detsad39@obl72.ru; detsad39obl@72.ru
48,"ГАПОУ ТО ""ТОБОЛЬСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ ИМ. В. СОЛДАТОВА""",7206015966.0, tmkzakupki@gmail.com;  tobmed@bk.ru; tobmedkolledj@gmail.com; kadr.tobmk@gmail.com; kadr.tobmr@gmail.com; t226947@yandex.ru
49,МАДОУ Д/С № 135 ГОРОДА ТЮМЕНИ,7202171724.0,sad135tmn@mail.ru; sad135tmn@obl72.ru
50,МАДОУ Д/С № 127 ГОРОДА ТЮМЕНИ,7202208163.0,cveta72rus@mail.ru; ds127@obl72.ru
51,МАОУ СОШ №62 ГОРОДА ТЮМЕНИ,7202021704.0,shkola62@rambler.ru
52,"МАОУ ""ВИКУЛОВСКАЯ СОШ №1""",7213002132.0,vik_sosch1@mail.ru; vik_sosh1@mail.ru; vik_sosh@mail.ru
53,"МАОУ ""УВАТСКАЯ СОШ"" УВАТСКОГО МУНИЦИПАЛЬНОГО РАЙОНА",7225003405.0,uvat-shkola.buh@yandex.ru; uvatshkola@yandex.ru
54,МАОУ СОШ № 16 ИМЕНИ В.П. НЕЙМЫШЕВА,7206009240.0,tobsh16@obl72.ru; nota19121@yandex.ru; ninatob@mail.ru; school16tobolsk@mail.ru; mayatob@mail.ru; tobsad-16@mail.ru
56,"МАОУ ""СОШ П. ДЕМЬЯНКА"" УВАТСКОГО МУНИЦИПАЛЬНОГО РАЙОНА",7225004021.0,buh_demsh@mail.ru
57,МАОУ СОШ № 5,7203084626.0,school5-tmn@obl72.ru; MOUSOH5@MAIL.RU; mousoh5@mai.ru; nadsnadrina08@mail.ru
58,МАОУ СОШ №38 ГОРОДА ТЮМЕНИ,7204006324.0,Schule38tmn@mail.ru; TANAGR68@MAIL.RU; schule38@mail.ru
59,"МАОУ ""СОШ № 2""",7206010326.0,sch-2tob@mail.ru; shc-2tob@mail.ru; tobsh2@obl72.ru
60,МАДОУ Д/С № 160 ГОРОДА ТЮМЕНИ,7202171731.0,detsad160@mail.ru; detsad160@obl72.ru
61,МАОУ СОРОКИНСКАЯ СОШ № 1,7222001216.0,sor-schooll@mail.ru; sor_school1@mail.ru
62,МАОУ СОРОКИНСКАЯ СОШ № 3,7222001520.0,sorokino-sc3@mail.ru; sorokino-sc@mail.ru; sorokino-3sr@mail.ru
64,МАОУ КАСКАРИНСКАЯ СОШ,7224010576.0,LMakarenko@yandex.ru; kas@obraz-tmr.ru; lmakarenko@mail.ru
65,МАОУ ВАГАЙСКАЯ СОШ,7220003218.0,vagay001@gmail.com
66,МАОУ ЧЕРВИШЕВСКАЯ СОШ,7224010022.0,cher@obraz-tmr.ru; chervischevo@mail.ru
67,МАДОУ ЦРР - ДЕТСКИЙ САД № 50 ГОРОДА ТЮМЕНИ,7204118660.0,ds50@obl72.ru; madoy.dc.detctvo@yandex.ru; 303971@bk.ru
68,"ГАОУ ТО ""ФМШ""",7203346712.0,fmschool72@mail.ru
69,"МАОУ ""ГОЛЫШМАНОВСКАЯ СОШ № 1""",7214005721.0,golysh_school_1@mail.ru; Golysh_school.1@mail.ru; golych_school_1@mail.ru
70,МАОУ СОШ №7 ГОРОДА ТЮМЕНИ,7203076400.0,school7_tmn@obl72.ru
71,МАОУ ШОРОХОВСКАЯ СОШ,7216003222.0,83453727204@mail.ru
72,МАДОУ Д/С № 112 ГОРОДА ТЮМЕНИ,7204118814.0,det_sad_112@mail.ru; kunashak7474@mail.ru; det_sad-112@mail.ru
73,МАОУ ГИМНАЗИЯ № 21 ГОРОДА ТЮМЕНИ,7202041838.0,accounting21@mail.ru; tyum-gimn21@mail.ru; lina0706@mail.ru; yal_alex@mail.ru; Gymnazya21@obl72.ru; accounting21@mal.ru
74,МАОУ СОШ № 43 ГОРОДА ТЮМЕНИ ИМЕНИ В.И. МУРАВЛЕНКО,7202033650.0,school43tumen@rambler.ru; 958795@bk.ru; shool43tumеn@rambler.ru
75,МАОУ НОВОТАРМАНСКАЯ СОШ,7224010294.0,school2-1@mail.ru ; nov@obraz-tmr.ru
76,МАДОУ ЦРР - Д/С № 111 ГОРОДА ТЮМЕНИ,7203207412.0,ds-skazka@mail.ru; ds111@obl72.ru
77,МАДОУ Д/С № 185 ГОРОДА ТЮМЕНИ,7204191162.0,ds_185@obl72.ru; ds_42@mail.ru; ds_185@mail.ru
78,МАДОУ Д/С № 134 ГОРОДА ТЮМЕНИ,7202171467.0,dsn134@mail.ru; dsn1342@mail.ru; dsn134@obl72.ru
79,МАДОУ Д/С № 146 ГОРОДА ТЮМЕНИ,7203206810.0,tumdetsad146@mail.ru; kir68lk@mail.ru
81,МАОУ БОГАНДИНСКАЯ СОШ №1,7224015052.0,bog1@obraz-tmr.ru; kn@obraz-tmr.ru
82,"МАОУ ""ВИКУЛОВСКАЯ СОШ №2""",7213002140.0,geraseva71@mail.ru; 2vik.shkola@mail.ru; moor.zoya@mail.ru; geraseva@mail.ru; geraseva71@mail.rru
83,МАОУ ЕМБАЕВСКАЯ СОШ ИМ. АШИРБЕКОВА,7224010181.0,embshkola@yandex.ru; emb@obraz-tmr.ru
84,МАОУ ИСЕТСКАЯ СОШ №2,7216003180.0,mouisoch2_2014@mail.ru; mouisoch2@mail.ru; buhiskshk2@mail.ru
85,МАДОУ Д/С № 79 ГОРОДА ТЮМЕНИ,7203207420.0,madou79@yandex.ru; madou79bux@yandex.ru; madou79@obl72.ru
86,МАОУ СОШ № 68 ГОРОДА ТЮМЕНИ,7203076350.0,school68_tmn@mail.ru; school68_68tmn@mail.ru
88,МАДОУ Д/С № 121 ГОРОДА ТЮМЕНИ,7202171717.0,madou121@yandex.ru; sadcentr121@yandex.ru; sadctntr121@yandex.ru
89,МАДОУ Д/С № 58 ГОРОДА ТЮМЕНИ,7203207282.0,ds58@bk.ru; detsad58@inbox.ru
90,"МАОУ ""ТУРТАССКАЯ СОШ"" УВАТСКОГО МУНИЦИПАЛЬНОГО РАЙОНА",7225003356.0,turtas18@mail.ru; turtas18buh@mail.ru
91,МАДОУ Д/С № 7 ГОРОДА ТЮМЕНИ,7202171812.0,d.s-7_tyumen@mail.ru
92,МАОУ СОШ № 18,7206016991.0,shumilovang@mail.ru; tobsh18@obl72.ru
93,МАОУ ГИМНАЗИЯ № 12 ГОРОДА ТЮМЕНИ,7203076537.0,gimnaz_12_tymen@bk.ru; mitrifonov@mail.ru; gimnaz_12_tymen_buh@bk.ru; gimnaz_12_tyumen@obl72.ru
95,МБОУ ОШ № 2 ГОРОДА ТЮМЕНИ,7202022472.0,mskou_n2@mail.ru; tibua11@yandex.ru
96,МАОУ СОШ №42 ГОРОДА ТЮМЕНИ,7203076255.0,scl42@bk.ru; buhscl42@mail.ru; school42_tmn@mail.ru
97,МАОУ ГИМНАЗИЯ № 83 ГОРОДА ТЮМЕНИ,7203058376.0,Gymnazia83@obl72.ru; gimnasia83@yandex.ru; GYMNASIA83@YANDEX.RU; gimnasi83buh@mail.ru
98,МАОУ СОШ № 52 ГОРОДА ТЮМЕНИ,7202060326.0,school_52@mail.ru; SCHOOL52_TYUMEN@MAIL.RU; school52_52@mail.ru; shool_52@mail.ru
100,МАОУ НСОШ,7218002200.0,nschkola@rambler.ru; byxnschkola@yandex.ru; maou_ns_soch@obl72.ru
101,МАДОУ Д/С № 78 ГОРОДА ТЮМЕНИ,7204006765.0,detsad078@obl72.ru; detsad078@mail.ru; detsad78@mail.ru
102,МАОУ СОШ № 17,7206009916.0,tobsh17@obl72.ru; SCHKOLA17@MAIL.RU; schkola@mail.ru 
103,МАОУ ОСОШ №1,7220003137.0,maou.ososh1@yandex.ru
104,МАДОУ Д/С № 100 ГОРОДА ТЮМЕНИ,7203206962.0,sad1002009@yandex.ru; glbuh.det.sad2@yandex.ru; sad1002009@obl72.ru; natasha_mironova_1978@mail.ru
105,МАДОУ Д/С № 149 ГОРОДА ТЮМЕНИ,7203206909.0,ds.1492010@mail.ru; buhds.149@mail.ru
107,МАОУ КУЛАКОВСКАЯ СОШ,7224010223.0,kul@obraz-tmr.ru; kulakovo-72@mail.ru
108,МАОУ ДЛЯ ОБУЧАЮЩИХСЯ С ОВЗ СОШ-ИНТЕРНАТ № 6 Г.ЯЛУТОРОВСКА,7207000313.0,yalschool6@mail.ru; gyuzeliya2011@mail.ru; chiryateva-en@mail.ru
109,МАОУ ЛИЦЕЙ №34 ГОРОДА ТЮМЕНИ,7204006236.0,Licey34@obl72.ru; shamratova.alsu@mail.ru; Licey34@yandex.ru; licey34@tmn.ru; licey34@bk.ru
110,"МАОУ ""СОШ ИМЕНИ ДЕКАБРИСТОВ""",7207000747.0,dekabrist_2@mail.ru; semochkina_nm@mail.ru; yal_school4@mail.ru
111,МАДОУ Д/С № 90 ГОРОДА ТЮМЕНИ,7203207123.0,madoy90@yandex.ru; MADOU90@MAIL.RU
112,"ГАПОУ ТО ""ТЮМЕНСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ""",7203003225.0,irina.betextina@mail.ru; gaoutmk@yandex.ru; buhtmk109@yandex.ru; duhtmk109@yandex.ru; opk.109@mail.ru
114,"МАОУ ""БЕРКУТСКАЯ СОШ""",7228002294.0,berkut_buh@mail.ru; berkut_school@inbox.ru
115,МАОУ СОШ №26 ГОРОДА ТЮМЕНИ,7204006243.0,school26_tmn@obl72.ru; school26_tmn@mail.ru; school_26tmn@mail.ru; tmn@mail.ru
116,МАДОУ ЦРР Д/С № 125 ГОРОДА ТЮМЕНИ,7203207388.0,ds125r@yandex.ru; ds_125@mail.ru; ds125r@obl72.ru
117,"МАОУ ""БОРОВИНСКАЯ СОШ""",7215008034.0,mou408688@yandex.ru; met52008@yandex.ru; mou408688@yadex.ru
118,"МАДОУ ""ДЕТСКИЙ САД № 51"" Г. ТОБОЛЬСКА",7206036934.0,madou51@mail.ru
119,МАДОУ Д/С № 132 ГОРОДА ТЮМЕНИ,7203175094.0,sadik132@yandex.ru; sadik132@ya.ru; borisovna-7676@mail.ru; sadik132@obl72.ru
120,МАДОУ Д/С № 133 ГОРОДА ТЮМЕНИ,7202171450.0,mds133@bk.ru; mds133@obl72.ru
121,"МБОУ ОШ ""ГОРИЗОНТ"" ГОРОДА ТЮМЕНИ",7203004170.0,si_gorizont@mail.ru; si_gorizont@obl72.ru; si-gorizont@mail.ru
122,МАДОУ Д/С № 162 ГОРОДА ТЮМЕНИ,7203207444.0,det-sad162@mail.ru
123,МАОУ СОШ № 14,7206014585.0,tob-Sh14@yandex.ru; sosh14buhgalteri@yandex.ru
124,"МАОУ ""КУТАРБИТСКАЯ СОШ""",7223009232.0,ZBUH2011@MAIL.RU; kutsosh_70@mail.ru; soch_70@mail.ru
125,МАОУ КАЗАНСКАЯ СОШ,7218001044.0,ksosh@mail.ru; ksos@mail.ru; maou_kaz_soch@obl72.ru; maun_kaz_soch@obe72.ru
126,МАОУ СОШ № 88 ГОРОДА ТЮМЕНИ,7204037065.0,tmn88@mail.ru; tmn88buh@mail.ru
127,"ЧПОУ ТОСПО ""ТЮМКЭУП""",7204006758.0,нет в списке ДФ
128,МАДОУ Д/С № 3 ГОРОДА ТЮМЕНИ,7203224150.0,madouds3@obl72.ru; madouds3@mail.ru
129,МАОУ СОШ № 63 ГОРОДА ТЮМЕНИ,7203076551.0,school63tmn@mail.ru; school63buhgalter@mail.ru
130,МБОУ ООШ № 77 ГОРОДА ТЮМЕНИ,7203058288.0,school-77@mail.ru; school77@obl72.ru
131,МАДОУ Д/С № 87 ГОРОДА ТЮМЕНИ,7203207405.0,detskysad87@mail.ru; deyskaysad87@mail.ru; detskaysad87@mail.ru; deyskysad87@mail.ru; etskysad87@mail.ru
132,МАОУ ЛИЦЕЙ № 93 ГОРОДА ТЮМЕНИ,7203115056.0,tgml@mail.ru; tgml@obl72.ru
133,МАОУ СОШ № 13,7206009874.0,tob_sh13@mail.ru; bsh13@mail.ru; tobsh13@obl72.ru
134,"МАОУ ""НОВОАТЬЯЛОВСКАЯ СОШ""",7228005312.0,novoat_bux@mail.ru; novoat_school@inbox.ru
135,"МАОУ ""КИЕВСКАЯ СОШ""",7228005305.0,kievo.buh@mail.ru; school-kievo@mail.ru; school-kievo@rambler.ru
137,МАДОУ Д/С № 151 ГОРОДА ТЮМЕНИ,7204118476.0,det.cad.151@mail.ru; ds_159@mail.ru; 151@mail.ru; ds151@obl72.ru
139,"ГАПОУ ТО ""ИШИМСКИЙ МНОГОПРОФИЛЬНЫЙ ТЕХНИКУМ""",7205028419.0,72050284169@mail.ru; 7205005299@MAIL.RU; 7205028419@mail.ru; imt_ishim@vail.ru; dolgihtv-imt@yandex.ru
141,МАДОУ Д/С № 25 ГОРОДА ТЮМЕНИ,7203207324.0,madou_ds25@mail.ru; madouds25@obl72.ru
142,МАОУ СОШ № 67 ГОРОДА ТЮМЕНИ,7203077308.0,school67_tmn@mail.ru; sch00l67_tmn@mail.ru; school67tmn@obl72.ru
143,"ТЮМЕНСКИЙ ФЛ ФГБНУ ""ВНИРО""",7708245723.0,fin@gosrc.ru; gosrc@gosrc.ru; econom@gosrc.ru; kadry@gosrc.ru
144,МАОУ БАННИКОВСКАЯ СОШ,7208001253.0,banscool@rambler.ru
145,МАДОУ Д/С № 36 ГОРОДА ТЮМЕНИ,7203206970.0,dc36@mail.ru; ds36@mail.ru; madou36@obl72.ru
146,МАОУ СОШ №45 ГОРОДА ТЮМЕНИ,7202060365.0,school45_tmn@mail.ru; mousosch45@mail.ru
147,МАОУ СОШ № 6,7206014916.0,mou_sosh_6@mail.ru; korobotova81@mail.ru; tobsh6@obl72.ru
148,"МАОУ ""СТАРОАЛЕКСАНДРОВСКАЯ СОШ ИМ. КАЛИЕВА А.М.""",7229005971.0,st.al00@mail.ru; st.al@mail.ru; st.al00@mai.ru; st.al@mail.ru.
149,МАОУ СОШ №9 ГОРОДА ТЮМЕНИ С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ КРАЕВЕДЕНИЯ,7202060380.0,school9_tmn@obl72.ru; VALE.ZUBAREWA2014@YANDEX.RU; tibua2011@yandex.ru; kadry.2022@bk.ru; school9_tmn@mail.ru
150,МАОУ СЛОБОДА-БЕШКИЛЬСКАЯ СОШ,7216003984.0,tgabrus@yandex.ru
151,МАДОУ Д/С № 155 ГОРОДА ТЮМЕНИ,7203206803.0,DS_155@mail.ru; dou155@obl72.ru
152,МАДОУ Д/С № 55 ГОРОДА ТЮМЕНИ,7204118388.0,55detsad@mail.ru; ooop9@mail.ru
153,"МАОУ ""ДЕМЬЯНСКАЯ СОШ ИМ. ГВАРДИИ МАТРОСА А. КОПОТИЛОВА"" УВАТСКОГО МУНИЦИПАЛЬНОГО РАЙОНА",7225003420.0,demyansk18@inbox.ru; demyansk-shkola-buh@yandex.ru; demaynsk18@inbox.ru
154,МАОУ СОШ №37 ГОРОДА ТЮМЕНИ ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА Н.И.КУЗНЕЦОВА,7202024737.0,school37_tmn72@mail.ru; school37_byh@mail.ru
156,МАДОУ Д/С № 106 ГОРОДА ТЮМЕНИ,7203207067.0,madou106@obl72.ru; madou106@yandex.ru
158,МАОУ СОШ № 12 Г. ИШИМА,7205009279.0,sc12@obl72.ru; tobsh12@obl72.ru; sc12@list.ru; 7205009279@t72.ru; s12@list.ru; sc12@obl.ru
159,МАДОУ Д/С №172 ГОРОДА ТЮМЕНИ,7202171844.0,madou172@yandex.ru; babushenko@rambler.ru; madou172@obl72.ru
160,МАДОУ Д/С № 118 ГОРОДА ТЮМЕНИ,7203207370.0,tumdetsad118@mail.ru; tumdetsad118@obl72.ru
161,МАОУ СОШ №13 ГОРОДА ТЮМЕНИ,7203076270.0,mou13@mail.ru; mou13@obl72.ru
164,МАОУ СЕТОВСКАЯ СОШ,7206026083.0,setovotobr@mail.ru; setovobux@mail.ru
165,МАДОУ Д/С № 186 ГОРОДА ТЮМЕНИ,7203300588.0,ds186@rambler.ru; madou186@yandex.ru; madou186@mail.ru; ds186@obl72.ru
166,МАДОУ ЦРР - Д/С № 167 ГОРОДА ТЮМЕНИ,7202171481.0,ds167@mail.ru; 167@mail.ru
168,МАДОУ Д/С № 176 ГОРОДА ТЮМЕНИ,7203207469.0,ds176@obl72.ru; detctvo_dc176@mail.ru; d.sad176@mail.ru; dou-176@yandex.ru; ds-176@yandex.ru; 7203207469_720301001_ds-176@yandex.ru
169,"ДЕТСКИЙ САД ""СВЕТЛЯЧОК""",7215001670.0,bux.dsz@mail.ru; svetljchok_dsz@mail.ru; zgo-bux.dsz@obl72.ru; zgo-ds-svetlyachok@obl72.ru; dux.dsz@mail.ru
170,МАОУ СЛАДКОВСКАЯ СОШ,7221002070.0,slshbyh@mail.ru; slshbuh@mail.ru; slshcola@mail.ru; otdelobr2016@yandex.ru
172,МАОУ СОШ №70 ГОРОДА ТЮМЕНИ,7203075646.0,web70@mail.ru; buhmaou70@mail.ru 
173,МАОУ БАЙКАЛОВСКАЯ СОШ,7223009384.0,baikalovo@mail.ru
175,"МАДОУ ""ДЕТСКИЙ САД № 49"" Г. ТОБОЛЬСКА",7206037286.0,madouds49@mail.ru; maouds49@mail.ru
176,МАОУ ГИМНАЗИЯ № 49 ГОРОДА ТЮМЕНИ,7204006187.0,tyumenschool49@mail.ru
177,МАОУ СОШ №8 Г. ИШИМА,7205009952.0,school8ishim@obl72.ru; school8ishim@mail.ru; school8bux@mail.ru
179,ФГБОУ ВО ГАУ СЕВЕРНОГО ЗАУРАЛЬЯ,7202010269.0,BUHTGSHA@YANDEX.RU; mamonova.ao@gausz.ru; bessonovata@gausz.ru; dolinskaya.af@gausz.ru; akdigitovamg@gausz.ru
180,МАОУ СОШ №58 ГОРОДА ТЮМЕНИ,7204006074.0,school58tmn@yandex.ru; school58tmn@obl72.ru
181,МАОУ ЮЖНО-ДУБРОВИНСКАЯ СОШ,7209002740.0,sheda15@yandex.ru; yud.schkola@yandex.ru; shcolauds@yandex.ru
182,"МАОУ ""СОШ С.БЕРДЮЖЬЕ""",7211003959.0,Scoolbsch2006@mail.ru; berdschool333@mail.ru
183,"МАДОУ БОРОВСКИЙ ДЕТСКИЙ САД ""ЖУРАВУШКА""",7224035066.0,jyrawyshka@yandex.ru; bords@obraz-tmr.ru; jyrawyshka@mail.ru
184,МАДОУ Д/С № 183 ГОРОДА ТЮМЕНИ,7202223690.0,ds183@mail.ru
185,МАОУ СОШ №25 Г. ТЮМЕНИ,7202060340.0,ship25@rambler.ru; ship25@obl72.ru
186,"МАДОУ ""ДЕТСКИЙ САД № 30"" Г. ТОБОЛЬСКА",7206037208.0,detskiusad30tobolsk@yandex.ru; detskiysad30tobolsk@yandex.ru; tods30@obl72.ru; tobds30@obl72.ru
187,МАДОУ Д/С № 12 ГОРОДА ТЮМЕНИ,7203206923.0,dst12@mail.ru; 151071l@mail.ru
188,МАДОУ Д/С № 158 ГОРОДА ТЮМЕНИ,7203207356.0,tyumdetsad15863@mail.ru; larisa.shmurygina@mail.ru; tyumdetsad158@mail.ru
189,МАОУ СОШ № 48 ГОРОДА ТЮМЕНИ,7203076671.0,tum_school48@obl72.ru; ckakun.ru@mail.ru
190,МАОУ БОРКОВСКАЯ СОШ,7224011072.0,borkischool@mail.ru; bork@obraz-tmr.ru; bork@obraz-tmr.mail.ru; borki@obraz-tmr.ru
192,"ТЮМЕНСКИЙ ИНСТИТУТ ПОВЫШЕНИЯ КВАЛИФИКАЦИИ СОТРУДНИКОВ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ, ТЮМЕНСКИЙ ИНСТИТУТ ПОВЫШЕНИЯ КВАЛИФИКАЦИИ СОТРУДНИКОВ МВД РОССИИ, ФГКУ ДПО ""ТИПК МВД РОССИИ"", ТИПК МВД РОССИИ",7204006878.0,tipkmvd@mvd.ru; tuimvd.feo@mail.ru; TSO@DEOZAL.RU; vor44and@mail.ru; nastenkav_1988@mail.ru; tumlawin@mvd.ru
193,МАОУ ОСОШ № 2,7220003754.0,ososhn2@yandex.ru; ososhn2@yndex.ru
194,МАДОУ Д/С № 141 ГОРОДА ТЮМЕНИ,7203206916.0,NINA.MILLER@MAIL.RU; nina.miller@mail.ru; detsad-141@yandex.ru; madouds141@yandex.ru; detsad-141@ya.ru; madouds141@obl72.ru
195,МАДОУ Д/С № 85 ГОРОДА ТЮМЕНИ,7203207395.0,madou85@yandex.ru; MADOU87@obl72.ru
196,МАДОУ Д/С № 1 ГОРОДА ТЮМЕНИ,7204118540.0,ankushevalena@mail.ru; elenavoronkina@yandex.ru; svetlana.urusova@mail.ru; bazilevich81@mail.ru; detsad1t@yandex.ru; 1detsad.2022@mail.ru
